local_readme_file,section_codes_in_file,codes_not_in_file
supremeboy18.ttt-5-move-rb-q-000.md,"1,3,6","4,5,7,8"
survanetwork.HotBlock.md,"-,1,5,6,7","3,4,8"
suryacaprice.laraadmin.md,",-,1,5,6,7","3,4,8"
susuLee.afinal.md,"-,3","1,4,5,6,7,8"
Sylvain-Bugat.salt-step.md,"-,1,3,6,7","4,5,8"
sylvainar.ROS-OSM-map-integration.md,"1,3","4,5,6,7,8"
tbekolay.tbekolay.github.io.md,"1,3,6","4,5,7,8"
tchryssos.rails-create-action-readme-web-0716.md,3,"1,4,5,6,7,8"
tcwangshiqi.Dreamcatcher_Android_Aplication.md,"-,1,3,6","4,5,7,8"
tetegra.models.md,",1","3,4,5,6,7,8"
tgerring.go-ethereum.md,"-,1,3,6,7","4,5,8"
thamoui.A2Z-F15.md,",-,1,3,5,6","4,7,8"
thauta.BMW_E46_Android_RPi_IBUS_Controller.md,",1,3","4,5,6,7,8"
theckman.goas.md,",-,3,4,5,6","1,7,8"
TheCrimsonIdol.docker.md,",-,1,3,5,6,7","4,8"
thejohnbackes.music-machine.md,"1,3,6","4,5,7,8"
theYoYo.dev.md,",-","1,3,4,5,6,7,8"
thierbig.OpenPoGoBot.md,"-,1,3,4,5,6,7",8
threehams.react-redux-universal-hot-example.md,",-,1,3,4,6,7","5,8"
thyagoquintas.jquery-cookie.md,",-,3,5","1,4,6,7,8"
tienhv.OpenWPM.md,"1,3,5","4,6,7,8"
tieusangaka.Context-Menu.Android.md,"-,1,3,4,5,6","7,8"
tizzer.ExoPlayer.md,"-,1,3,4,6","5,7,8"
tkremenek.swift-corelibs-xctest.md,"1,3,6,7","4,5,8"
tmaxxcar.core.md,"3,4,5,6,7","1,8"
tomix81.ws2812esp8266.md,",3,6","1,4,5,7,8"
tommc.react-window-mixins.md,"-,3","1,4,5,6,7,8"
Tony---Zhang.android-boilerplate.md,"1,3,5,6","4,7,8"
tophermade.uQuake1.md,"1,3,4,6","5,7,8"
tophermade.uQuake3.md,",1,3,4,5,6","7,8"
totallyGreg.homebridge.md,",-,1,3,5,6","4,7,8"
tottaz.Basic-Python-RESTful-Server.md,",1,3,6","4,5,7,8"
tpsumeta.morris.js.md,",1,3,4,5,7","6,8"
TravisJN.twitch-js-sdk.md,"-,1,3,4,6","5,7,8"
TribeMedia.Flock.md,",1,3,5,6,7","4,8"
trimonovds.Windows-universal-samples.md,",-,1,3,5,6,7","4,8"
Trioblack.MaterialWidget.md,",-,3","1,4,5,6,7,8"
trixartem.webdev-slides.md,-,"1,3,4,5,6,7,8"
trufflin.cocos2d-iphone.md,"-,1,3,6,7","4,5,8"
trusbe.MSDynamicsDrawerViewController.md,",-,1,3,5,6,7","4,8"
ttezel.snake.md,"-,1,3,5","4,6,7,8"
ttwo32.www.ruby-lang.org.md,"1,3,6,7","4,5,8"
turtledb.phpenv.md,"-,1,3,4,6","5,7,8"
tuxmark5.electron.md,"-,3,6","1,4,5,7,8"
udoprog.musync.md,",1,3","4,5,6,7,8"
unseenline.skicka.md,",-,1,3,6","4,5,7,8"
usernamegemaoa.business.md,"-,1,3,5,6","4,7,8"
utkarshx.tagspaces.md,"-,1,3,4,5,6,7,8",
uzhy1987.RDVTabBarController.md,"-,3,5","1,4,6,7,8"
Val9.director.md,",1,3,4,5,6","7,8"
Val9.forever.md,",3,5","1,4,6,7,8"
Val9.node-http-proxy.md,",-,1,3,5,6","4,7,8"
vanloswang.flinux.md,"1,3,5,6,8","4,7"
vannak1.sinatra-dynamic-routes-codealong-v-000.md,"1,3,6","4,5,7,8"
vashrei.Neon.md,"-,3,5","1,4,6,7,8"
vashrei.Popover.md,"-,1,3,5,6","4,7,8"
vavies.SampleAssignment.md,3,"1,4,5,6,7,8"
velos.MagicalRecord.md,",-,1,3,4,5,6","7,8"
venkat9099.ui-router.md,",-,3,6,7","1,4,5,8"
vineet-sinha.talks.md,"1,3","4,5,6,7,8"
vineetk1.yodaqa.md,"1,3,6","4,5,7,8"
visibilityspots.scripts.md,",-,1,3,4,6","5,7,8"
Visual-Stylecop.Visual-StyleCop.md,1,"3,4,5,6,7,8"
Vivesoft.MVC-exam-70-486.md,",-","1,3,4,5,6,7,8"
viztor.hackathon-starter.md,",-,1,3,4,5,6,7",8
vkingtest.testfg.md,",-,1,3,4,5,6,8",7
VnayAI.js-deli-counter-bootcamp-prep-000.md,"1,3,6","4,5,7,8"
voidException.Apollo.md,",-,1","3,4,5,6,7,8"
vov5558.VirtaCoinProject.md,"1,3,4,5,6,7",8
vpalos.fake_sqs.md,"1,3","4,5,6,7,8"
wangchunjian.jquery-validation.md,"1,3,5,6,7","4,8"
wangshuai112.logkafka.md,"1,3,4,6","5,7,8"
warleygp.twentytwenty.md,"-,3,5","1,4,6,7,8"
Watercycle.controller-button-mapper.md,",1,3,4,8","5,6,7"
wboubi.retrobian.md,",-,1,3,6","4,5,7,8"
webcup.codebox.md,"-,1,3,5,6,7","4,8"
webhost.AWeber-API-PHP-Library.md,"1,3,4,6","5,7,8"
webislife.twig.js.md,",1,3,5","4,6,7,8"
webplumbr.uql-backend.md,",3,6","1,4,5,7,8"
weekeight.amphtml.md,",-,1,6,7","3,4,5,8"
weixinhost.nginx_yar_module.md,"-,1,3,6","4,5,7,8"
wendelas.node.md,"1,3,4,5,6,7",8
wendelas.windows-installer.md,"1,3,6","4,5,7,8"
wends155.angular-seed.md,"1,3,5","4,6,7,8"
wenlai521.AndroidUtilCode.md,"-,1,3,6","4,5,7,8"
werwe.android-flux-todo-app.md,"1,3,5,6","4,7,8"
wesleyakio.angular.js.md,",1,3,6,7","4,5,8"
Whookash8.Mrowka-Langdona.md,-,"1,3,4,5,6,7,8"
widilolz.PokemonGo-Bot-SimpleGUI.md,"-,1,3,5,6,8","4,7"
willcosgrove.wit-ruby.md,"1,3,5,6","4,7,8"
WilliamRen.AndroidUIO.md,"-,1,3,5,6","4,7,8"
winner12263.Sencha-angular.md,",-,1,3,6","4,5,7,8"
WinnieLee.speaking-grandma-001-prework-web.md,"1,3,6","4,5,7,8"
wmusial.salesforce-bulk.md,",1,3","4,5,6,7,8"
WooodHead.jscoverage.md,"1,3,4,6","5,7,8"
wuyuan001.ssdb.md,",-,1,3,5,6","4,7,8"
xdcesc.normaldist-benchmark.md,"-,1,3,4,5,6","7,8"
XiaonanD.parallel_ml_tutorial.md,"1,3,5,6","4,7,8"
xiaoxia1992.platform_bionic.md,",-,1,3,8","4,5,6,7"
xiaozhuge007.PullToRefresh.md,",-","1,3,4,5,6,7,8"
xiayangy.AChartEngine.md,"-,5","1,3,4,6,7,8"
xiayangy.XCL-Charts.md,1,"3,4,5,6,7,8"
xibman.twitter-bootstrap-rails-confirm.md,"-,1,3,4,5,6,7",8
xixinfei.MinimalistWeather.md,",-","1,3,4,5,6,7,8"
xlong88.egads.md,",1,3,5,6,7","4,8"
xuboso.java-design-patterns.md,",-,1,3,4,5,6,7",8
xukuangbo.VGParallaxHeader.md,"3,4,6","1,5,7,8"
YaaL.grunt-bower-release.md,",-,3,5","1,4,6,7,8"
YANGLUOTONG.learnGitBranching.md,",1,3,7","4,5,6,8"
yanmengv.Anypic.md,",3,6","1,4,5,7,8"
yanninho.maureillas-backend.md,"-,1,3,4,5,6","7,8"
YaProne.applied-prog-bachelor-course.md,-,"1,3,4,5,6,7,8"
yiiprojectblueprints.chapter1.md,",-,1,3,5","4,6,7,8"
yiiprojectblueprints.chapter2.md,",3,5","1,4,6,7,8"
yiiprojectblueprints.chapter3.md,",-,3,5,6","1,4,7,8"
yiiprojectblueprints.chapter4.md,",-,3,5","1,4,6,7,8"
yiiprojectblueprints.chapter5.md,",3,5,7","1,4,6,8"
yiiprojectblueprints.chapter6.md,",-,3,5","1,4,6,7,8"
yiiprojectblueprints.chapter7.md,",-,3,5","1,4,6,7,8"
YingboMa.RadauBVP.jl.md,"1,3,5","4,6,7,8"
yinzara.greenDAO.md,",1,3,4,6","5,7,8"
ynd-consult.SocketRocket.md,"-,1,3,6,7,8","4,5"
YogeshJangir.bootstrap-tour.md,",-,1,3,5,6,7","4,8"
yous.xe-core.md,"-,1,3,5,6,7","4,8"
Yrp.prezto.md,"-,1,3,5,6,7","4,8"
yuanyuans.Android-HyViewInject.md,"-,1,3,6","4,5,7,8"
yudan521.bootstrap-fileinput.md,"-,1,3,5,6","4,7,8"
ywencn.active_merchant_payu_in.md,"1,3,4,5","6,7,8"
yxs19910622.solo.md,"-,1,3,5,6","4,7,8"
yxs19910622.symphony.md,"-,1,5,6","3,4,7,8"
Zachary46.AndroidAutoLayout.md,"-,3,4","1,5,6,7,8"
zachnoren.blooprint.xyz.md,"-,1,3,5,6,7","4,8"
zawsx.gui-bootstrap-material-design-1.md,",-,1,3,4,6","5,7,8"
ZeroNoRyouki.BigReactors-OLD.md,"-,1,3,5","4,6,7,8"
zhaimi.dexposed.md,",1,3,4,7","5,6,8"
zhangchen-qinyinghua.kityminder-editor.md,"-,1","3,4,5,6,7,8"
zhangmeng0711.LRUedRedisStorage-iceberg-.md,"1,3,4,6","5,7,8"
zhengbowu.OptiKey.md,",3,5,6","1,4,7,8"
Zhengjianglan.AspNetCoreRateLimit.md,"3,6","1,4,5,7,8"
zhou87.iOS-LibraryCollections.md,",-,1,3,6","4,5,7,8"
zpdian.android-viewflow.md,",-,1,3,5,7","4,6,8"
zszalas2.learn-deploy-on-day-one-v-000.md,"-,1,3,7","4,5,6,8"
zulhilmixrahman.yii2.md,",-,1,3,4,6","5,7,8"
